,measurement rate,finded,initial state,simulation time,total jumps,total measurements,transition rate
318,0.5,1.0,0.0,201.8240977038052,17.0,109.0,0.1
319,0.5,1.0,0.0,385.5967411168078,26.0,202.0,0.1
320,0.5,1.0,0.0,34.784191165586705,3.0,19.0,0.1
321,0.5,1.0,0.0,423.8035590340075,25.0,207.0,0.1
322,0.5,1.0,0.0,85.12120199157751,10.0,46.0,0.1
323,0.5,1.0,0.0,93.21376194635748,8.0,38.0,0.1
324,0.5,1.0,0.0,37.20562029319353,3.0,12.0,0.1
325,0.5,1.0,0.0,394.0999264124447,30.0,199.0,0.1
326,0.5,1.0,0.0,444.05991683453937,36.0,249.0,0.1
327,0.5,1.0,0.0,289.9534820112429,21.0,139.0,0.1
328,0.5,1.0,0.0,33.86062074149336,4.0,13.0,0.1
329,0.5,1.0,0.0,208.19458135662148,19.0,90.0,0.1
330,0.5,1.0,0.0,111.50816944046424,7.0,52.0,0.1
331,0.5,1.0,0.0,68.57326304701375,10.0,35.0,0.1
332,0.5,1.0,0.0,61.60701128993257,5.0,29.0,0.1
333,0.5,1.0,0.0,98.9728039348833,9.0,55.0,0.1
334,0.5,1.0,0.0,86.35059211229164,7.0,38.0,0.1
335,0.5,1.0,0.0,79.8387492440729,8.0,39.0,0.1
336,0.5,1.0,0.0,717.4562392388957,52.0,354.0,0.1
337,0.5,1.0,0.0,180.858170123708,16.0,89.0,0.1
338,0.5,1.0,0.0,223.04844518538584,19.0,92.0,0.1
339,0.5,1.0,0.0,41.93291006745749,2.0,21.0,0.1
340,0.5,1.0,0.0,141.63376457275982,12.0,78.0,0.1
341,0.5,1.0,0.0,446.9978893482759,34.0,197.0,0.1
342,0.5,1.0,0.0,316.95990025866564,28.0,170.0,0.1
343,0.5,1.0,0.0,60.372443658203714,8.0,28.0,0.1
344,0.5,1.0,0.0,49.38533626841375,5.0,24.0,0.1
345,0.5,1.0,0.0,60.057615179590215,4.0,27.0,0.1
346,0.5,1.0,0.0,53.68714338622328,4.0,27.0,0.1
347,0.5,1.0,0.0,432.1812032785326,34.0,183.0,0.1
348,0.5,1.0,0.0,246.29850818847427,13.0,116.0,0.1
349,0.5,1.0,0.0,358.4327684263164,26.0,169.0,0.1
350,0.5,1.0,0.0,228.88584357316105,20.0,106.0,0.1
351,0.5,1.0,0.0,70.49769406815403,5.0,37.0,0.1
352,0.5,1.0,0.0,404.5609674842201,36.0,208.0,0.1
353,0.5,1.0,0.0,121.1776953775332,10.0,51.0,0.1
354,0.5,1.0,0.0,316.2000137682798,22.0,162.0,0.1
355,0.5,1.0,0.0,230.87608692868017,23.0,117.0,0.1
356,0.5,1.0,0.0,99.04730389974648,10.0,63.0,0.1
357,0.5,1.0,0.0,37.57063529867967,4.0,18.0,0.1
358,0.5,1.0,0.0,103.25803813444696,10.0,46.0,0.1
359,0.5,1.0,0.0,358.0846958343064,37.0,162.0,0.1
360,0.5,1.0,0.0,44.91912301413421,5.0,23.0,0.1
361,0.5,1.0,0.0,354.9310142138463,29.0,170.0,0.1
362,0.5,1.0,0.0,81.94233505156663,5.0,31.0,0.1
363,0.5,1.0,0.0,204.699233607974,17.0,105.0,0.1
364,0.5,1.0,0.0,97.40278721290947,6.0,58.0,0.1
365,0.5,1.0,0.0,116.23913833911269,8.0,59.0,0.1
366,0.5,1.0,0.0,97.13154851052212,7.0,50.0,0.1
367,0.5,1.0,0.0,121.77204110403656,11.0,52.0,0.1
368,0.5,1.0,0.0,248.073775486076,21.0,118.0,0.1
369,0.5,1.0,0.0,80.45171527792543,9.0,34.0,0.1
370,0.5,1.0,0.0,51.44295994754211,4.0,21.0,0.1
371,0.5,1.0,0.0,460.283505396138,39.0,248.0,0.1
372,0.5,1.0,0.0,55.435173904715136,4.0,42.0,0.1
373,0.5,1.0,0.0,58.561203022166005,3.0,25.0,0.1
374,0.5,1.0,0.0,71.31953326946278,5.0,35.0,0.1
375,0.5,1.0,0.0,61.730023166687815,4.0,31.0,0.1
376,0.5,1.0,0.0,49.43586054837501,4.0,28.0,0.1
377,0.5,1.0,0.0,239.9644839402767,14.0,95.0,0.1
378,0.5,1.0,0.0,136.23152336871095,9.0,72.0,0.1
379,0.5,1.0,0.0,253.3358227385736,20.0,144.0,0.1
380,0.5,1.0,0.0,194.9439208477848,13.0,114.0,0.1
381,0.5,1.0,0.0,214.9298076674258,19.0,85.0,0.1
382,0.5,1.0,0.0,136.3027199986204,9.0,77.0,0.1
383,0.5,1.0,0.0,61.69412156228801,3.0,31.0,0.1
384,0.5,1.0,0.0,74.72237618768942,9.0,37.0,0.1
385,0.5,1.0,0.0,98.46881090948946,8.0,46.0,0.1
386,0.5,1.0,0.0,342.409207922295,27.0,181.0,0.1
387,0.5,1.0,0.0,590.7199451173244,42.0,304.0,0.1
388,0.5,1.0,0.0,134.82244380427906,6.0,65.0,0.1
389,0.5,1.0,0.0,175.83497666711938,12.0,99.0,0.1
390,0.5,1.0,0.0,210.66145284446543,18.0,93.0,0.1
391,0.5,1.0,0.0,402.2305499061009,29.0,231.0,0.1
392,0.5,1.0,0.0,48.560827186444406,6.0,24.0,0.1
393,0.5,1.0,0.0,160.03687622586938,12.0,86.0,0.1
394,0.5,1.0,0.0,110.13959659040206,8.0,56.0,0.1
395,0.5,1.0,0.0,227.47208435304285,17.0,117.0,0.1
396,0.5,1.0,0.0,253.68116685909573,18.0,133.0,0.1
